;tipo de incendio;año;mes;anho;Región de Arica;Región de Tarapacá;Región de Antofagasta;Región de Atacama;Región de Coquimbo;Región de Valparaíso;Región Metropolitana;Región del Libertador Bernardo O'higgins;Región del Maule;Región del Ñuble;Región del Bío Bío;Región de la Araucanía;Región de los Ríos;Región de los Lagos;Región de Aysén del General Carlos Ibáñez del Campo;Región de Magallanes y de la Antártica Chilena;Chile
1655;Haz-Mat 10-5;2021;abril;76;1;4;25;2;12;33;54;75;21;9;25;34;16;50;7;3;371
1656;Gas 10-6;2021;abril;76;6;15;17;12;11;49;223;46;20;19;66;28;27;36;6;20;601
1657;Eléctrico 10-7;2021;abril;76;1;3;14;8;3;26;126;27;11;10;11;13;6;9;4;2;274
1658;No Clasificado 10-8;2021;abril;76;4;4;8;16;7;36;52;28;36;24;131;35;18;19;5;0;423
1659;Otros Servicios 10-9;2021;abril;76;1;18;38;36;58;122;265;314;59;163;172;286;94;291;7;30;1954
1660;Escombros 10-10;2021;abril;76;0;0;0;1;3;18;12;4;7;3;6;9;2;6;0;0;71
1661;Servicio Aéreo 10-11;2021;abril;76;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1662;Apoyo a otros Cuerpos 10-12;2021;abril;76;0;0;0;8;3;24;172;28;9;6;12;42;5;5;0;0;314
1663;Atentados Terroristas 10-13;2021;abril;76;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1
1664;Accidentes Aéreos 10-14;2021;abril;76;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
1665;Simulacro 10-15;2021;abril;76;0;0;2;0;0;0;1;6;1;0;0;0;0;11;0;0;21
1666;Túnel 10-16;2021;abril;76;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1667;Falsa Alarma 6-16;2021;abril;76;0;0;0;0;2;8;24;7;3;5;6;5;8;2;4;5;79
1668;Inundación 10-17;2021;abril;76;0;0;0;0;1;0;4;0;0;0;3;2;0;0;0;0;10
1669;Emergencia Marítima Portuaria 10-18;2021;abril;76;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
1670;Incendio 10-30;2021;abril;76;0;1;3;0;0;5;21;2;1;0;0;2;0;8;0;0;43
1671;Emergencia Metro de Santiago 10-19;2021;abril;76;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
1672;Estructural 10-0;2021;mayo;77;4;23;37;8;28;129;335;122;128;69;196;145;108;200;23;27;1582
1673;Vehículos 10-1;2021;mayo;77;5;17;14;6;8;20;200;12;20;11;36;29;3;19;7;6;413
1674;Pastizales y/o Basura 10-2;2021;mayo;77;21;18;28;22;46;216;347;318;80;49;113;56;11;55;6;4;1390
1675;Rescate de Emergencia 10-3;2021;mayo;77;9;10;31;15;28;84;618;83;45;41;114;72;24;55;9;3;1241
1676;Rescate Vehicular 10-4;2021;mayo;77;28;34;69;50;71;265;562;192;174;87;308;153;85;137;29;17;2261
1677;Haz-Mat 10-5;2021;mayo;77;2;3;21;2;7;31;62;42;14;5;21;32;21;38;2;2;305
1678;Gas 10-6;2021;mayo;77;2;10;30;16;18;57;322;65;34;21;88;44;28;44;11;18;808
1679;Eléctrico 10-7;2021;mayo;77;2;3;13;8;6;21;250;24;13;9;22;15;3;6;1;4;400
1680;No Clasificado 10-8;2021;mayo;77;5;7;14;10;10;48;57;34;47;23;155;27;32;38;5;4;516
1681;Otros Servicios 10-9;2021;mayo;77;2;15;57;52;61;152;220;191;52;132;162;250;88;282;9;8;1733
1682;Escombros 10-10;2021;mayo;77;0;3;1;1;1;15;11;11;1;2;1;3;0;5;1;0;56
1683;Servicio Aéreo 10-11;2021;mayo;77;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1
1684;Apoyo a otros Cuerpos 10-12;2021;mayo;77;0;1;2;1;3;29;213;36;3;3;8;13;21;6;2;0;341
1685;Atentados Terroristas 10-13;2021;mayo;77;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;2
1686;Accidentes Aéreos 10-14;2021;mayo;77;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
1687;Simulacro 10-15;2021;mayo;77;0;0;0;0;0;0;0;3;0;0;0;0;5;1;0;0;9
1688;Túnel 10-16;2021;mayo;77;0;0;0;0;0;0;1;0;0;0;5;0;0;0;0;0;6
1689;Falsa Alarma 6-16;2021;mayo;77;2;0;1;3;2;9;19;9;6;4;5;8;4;2;3;0;77
1690;Inundación 10-17;2021;mayo;77;0;0;0;0;0;0;0;0;2;0;11;10;1;3;0;0;27
1691;Emergencia Marítima Portuaria 10-18;2021;mayo;77;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2
1692;Incendio 10-30;2021;mayo;77;1;3;4;0;0;2;31;0;1;0;0;2;0;14;0;0;58
1693;Emergencia Metro de Santiago 10-19;2021;mayo;77;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2
1694;Estructural 10-0;2021;Junio;78;3;33;23;18;32;130;343;99;154;81;246;243;125;227;22;23;1802
1695;Vehículos 10-1;2021;Junio;78;1;14;9;5;9;35;185;17;24;8;25;17;8;17;3;6;383
1696;Pastizales y/o Basura 10-2;2021;Junio;78;20;15;37;16;45;165;325;171;35;9;29;21;12;42;7;10;959
1697;Rescate de Emergencia 10-3;2021;Junio;78;8;21;25;7;50;94;600;106;41;27;121;68;27;58;2;1;1256
1698;Rescate Vehicular 10-4;2021;Junio;78;23;25;78;53;70;265;568;174;191;90;297;149;80;182;18;23;2286
1699;Haz-Mat 10-5;2021;Junio;78;1;2;18;2;6;33;59;40;21;6;17;28;12;47;1;1;294
1700;Gas 10-6;2021;Junio;78;5;14;34;6;25;77;287;52;34;15;57;49;23;38;8;12;736
1701;Eléctrico 10-7;2021;Junio;78;4;5;7;11;9;27;269;46;14;14;29;10;7;17;3;2;474
1702;No Clasificado 10-8;2021;Junio;78;2;3;8;16;16;44;51;30;41;24;157;29;14;30;2;6;473
1703;Otros Servicios 10-9;2021;Junio;78;4;28;51;47;53;144;219;177;41;153;87;257;117;381;17;11;1787
1704;Escombros 10-10;2021;Junio;78;0;0;1;1;1;8;6;2;6;0;3;6;3;3;0;0;40
1705;Servicio Aéreo 10-11;2021;Junio;78;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1706;Apoyo a otros Cuerpos 10-12;2021;Junio;78;0;2;1;3;3;6;191;27;2;3;7;16;13;1;0;0;275
1707;Atentados Terroristas 10-13;2021;Junio;78;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;2
1708;Accidentes Aéreos 10-14;2021;Junio;78;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
1709;Simulacro 10-15;2021;Junio;78;0;0;0;0;0;1;1;3;0;0;0;0;0;6;0;0;11
1710;Túnel 10-16;2021;Junio;78;0;0;0;0;0;0;1;0;0;0;5;0;0;0;0;0;6
1711;Falsa Alarma 6-16;2021;Junio;78;0;2;0;3;3;12;25;4;1;2;3;3;0;6;5;1;70
1712;Inundación 10-17;2021;Junio;78;0;0;0;0;0;0;1;0;0;0;7;2;2;0;0;0;12
1713;Emergencia Marítima Portuaria 10-18;2021;Junio;78;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
1714;Incendio 10-30;2021;Junio;78;1;3;3;0;0;2;25;0;2;0;0;2;0;14;0;0;52
1715;Emergencia Metro de Santiago 10-19;2021;Junio;78;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2
1716;Estructural 10-0;2021;Julio;79;5;25;53;15;40;172;416;143;154;110;228;210;141;209;31;25;1977
1717;Vehículos 10-1;2021;Julio;79;5;14;13;7;14;52;237;21;27;10;34;33;11;15;2;9;504
1718;Pastizales y/o Basura 10-2;2021;Julio;79;20;13;58;17;49;196;445;260;36;10;36;13;9;56;3;2;1223
1719;Rescate de Emergencia 10-3;2021;Julio;79;7;14;32;6;40;116;693;82;73;29;119;69;36;76;3;3;1398
1720;Rescate Vehicular 10-4;2021;Julio;79;27;39;90;57;73;348;643;255;220;104;319;206;68;163;32;10;2654
1721;Haz-Mat 10-5;2021;Julio;79;0;3;22;2;5;37;53;33;8;3;27;30;16;32;0;2;273
1722;Gas 10-6;2021;Julio;79;2;12;42;19;21;107;342;57;31;21;87;43;24;44;6;17;875
1723;Eléctrico 10-7;2021;Julio;79;0;5;4;8;8;25;193;36;6;7;16;10;8;14;0;2;342
1724;No Clasificado 10-8;2021;Julio;79;1;3;11;13;6;49;63;37;38;28;164;26;10;25;4;8;486
1725;Otros Servicios 10-9;2021;Julio;79;2;11;61;41;56;130;246;236;60;148;75;241;86;198;5;15;1611
1726;Escombros 10-10;2021;Julio;79;0;0;6;3;0;31;16;5;3;4;2;2;2;4;1;0;79
1727;Servicio Aéreo 10-11;2021;Julio;79;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1728;Apoyo a otros Cuerpos 10-12;2021;Julio;79;0;0;1;1;2;23;293;28;3;13;17;23;9;5;0;0;418
1729;Atentados Terroristas 10-13;2021;Julio;79;0;0;0;0;0;2;0;0;0;0;1;2;2;0;0;0;7
1730;Accidentes Aéreos 10-14;2021;Julio;79;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;3
1731;Simulacro 10-15;2021;Julio;79;1;0;0;1;0;2;2;0;0;1;0;0;1;2;0;0;10
1732;Túnel 10-16;2021;Julio;79;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1733;Falsa Alarma 6-16;2021;Julio;79;0;1;0;2;2;13;41;7;3;6;2;3;1;9;1;2;93
1734;Inundación 10-17;2021;Julio;79;0;0;0;0;0;0;2;0;0;1;3;1;0;0;0;0;7
1735;Emergencia Marítima Portuaria 10-18;2021;Julio;79;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;3
1736;Incendio 10-30;2021;Julio;79;0;3;3;0;0;4;49;1;3;0;0;0;1;15;0;0;79
1737;Emergencia Metro de Santiago 10-19;2021;Julio;79;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1738;Estructural 10-0;2021;Agosto;80;7;39;40;17;33;134;366;114;164;98;181;206;109;204;35;22;1769
1739;Vehículos 10-1;2021;Agosto;80;5;9;10;12;15;39;245;27;16;8;32;21;13;18;1;2;473
1740;Pastizales y/o Basura 10-2;2021;Agosto;80;22;13;44;33;55;220;429;216;59;48;79;41;11;53;8;0;1331
1741;Rescate de Emergencia 10-3;2021;Agosto;80;4;13;34;10;38;138;699;108;62;26;119;73;40;67;2;11;1444
1742;Rescate Vehicular 10-4;2021;Agosto;80;30;41;83;53;93;291;688;253;192;81;285;177;89;161;17;16;2550
1743;Haz-Mat 10-5;2021;Agosto;80;1;3;25;1;1;22;38;38;7;1;14;20;12;50;3;1;237
1744;Gas 10-6;2021;Agosto;80;4;20;35;17;29;92;295;59;38;19;82;43;34;43;3;13;826
1745;Eléctrico 10-7;2021;Agosto;80;1;10;4;11;3;31;238;54;15;20;14;18;10;11;1;0;441
1746;No Clasificado 10-8;2021;Agosto;80;1;7;18;6;11;112;130;100;112;47;189;48;13;41;6;5;846
1747;Otros Servicios 10-9;2021;Agosto;80;1;30;45;59;58;186;286;582;99;165;154;376;121;235;7;19;2423
1748;Escombros 10-10;2021;Agosto;80;2;1;1;0;2;24;17;7;5;2;4;5;2;7;3;0;82
1749;Servicio Aéreo 10-11;2021;Agosto;80;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1
1750;Apoyo a otros Cuerpos 10-12;2021;Agosto;80;0;1;0;0;1;18;269;38;10;10;24;19;19;3;0;0;412
1751;Atentados Terroristas 10-13;2021;Agosto;80;0;0;0;0;0;4;0;0;0;0;1;1;0;0;0;0;6
1752;Accidentes Aéreos 10-14;2021;Agosto;80;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
1753;Simulacro 10-15;2021;Agosto;80;2;0;1;0;0;7;3;2;2;0;0;3;1;2;1;0;24
1754;Túnel 10-16;2021;Agosto;80;0;0;0;1;0;0;0;0;0;0;6;0;0;0;0;0;7
1755;Falsa Alarma 6-16;2021;Agosto;80;1;2;0;0;3;15;29;18;11;3;4;4;3;11;3;0;107
1756;Inundación 10-17;2021;Agosto;80;0;0;0;0;0;0;10;15;0;2;13;2;0;2;0;0;44
1757;Emergencia Marítima Portuaria 10-18;2021;Agosto;80;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;3
1758;Incendio 10-30;2021;Agosto;80;2;1;2;0;0;2;49;1;3;0;1;0;2;15;0;0;78
1759;Emergencia Metro de Santiago 10-19;2021;Agosto;80;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
1760;Estructural 10-0;2021;septiembre;81;4;31;35;15;27;116;356;132;103;60;166;158;93;151;26;18;1491
1761;Vehículos 10-1;2021;septiembre;81;1;6;7;6;8;44;281;22;37;20;40;34;4;17;2;6;535
1762;Pastizales y/o Basura 10-2;2021;septiembre;81;23;25;24;27;62;198;506;298;98;60;80;113;25;74;6;5;1624
1763;Rescate de Emergencia 10-3;2021;septiembre;81;3;9;30;7;20;115;700;113;45;53;129;65;24;88;7;4;1412
1764;Rescate Vehicular 10-4;2021;septiembre;81;31;32;78;45;67;303;713;227;158;96;299;163;102;143;20;14;2491
1765;Haz-Mat 10-5;2021;septiembre;81;0;1;9;2;3;29;49;25;13;4;25;19;21;41;4;3;248
1766;Gas 10-6;2021;septiembre;81;4;18;28;15;12;57;220;49;23;13;76;43;26;42;5;11;642
1767;Eléctrico 10-7;2021;septiembre;81;0;3;8;5;7;27;144;29;13;16;14;18;3;8;1;1;297
1768;No Clasificado 10-8;2021;septiembre;81;2;8;13;11;9;54;79;55;72;35;142;31;14;27;4;8;564
1769;Otros Servicios 10-9;2021;septiembre;81;6;12;47;56;70;203;310;371;84;152;116;348;130;217;6;23;2151
1770;Escombros 10-10;2021;septiembre;81;0;2;0;1;3;17;20;7;5;2;3;2;0;2;1;0;65
1771;Servicio Aéreo 10-11;2021;septiembre;81;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
1772;Apoyo a otros Cuerpos 10-12;2021;septiembre;81;0;1;1;0;9;14;270;36;37;15;8;28;3;4;1;0;427
1773;Atentados Terroristas 10-13;2021;septiembre;81;0;0;0;0;0;0;2;1;1;0;0;0;1;0;0;0;5
1774;Accidentes Aéreos 10-14;2021;septiembre;81;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
1775;Simulacro 10-15;2021;septiembre;81;3;0;5;0;0;9;6;3;3;1;4;2;2;13;2;0;53
1776;Túnel 10-16;2021;septiembre;81;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;6
1777;Falsa Alarma 6-16;2021;septiembre;81;1;0;1;1;3;11;39;6;3;7;6;5;2;9;2;2;98
1778;Inundación 10-17;2021;septiembre;81;0;0;0;0;0;0;1;2;0;0;11;3;0;0;0;0;17
1779;Emergencia Marítima Portuaria 10-18;2021;septiembre;81;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;3
1780;Incendio 10-30;2021;septiembre;81;1;2;4;0;0;0;42;0;2;0;0;1;0;18;0;0;70
1781;Emergencia Metro de Santiago 10-19;2021;septiembre;81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1782;Estructural 10-0;2021;octubre;82;9;43;66;35;32;124;389;114;84;50;163;138;77;156;24;26;1530
1783;Vehículos 10-1;2021;octubre;82;5;5;15;3;10;37;321;20;19;11;35;30;8;25;4;5;553
1784;Pastizales y/o Basura 10-2;2021;octubre;82;24;20;57;29;50;285;581;289;184;95;169;166;37;123;11;5;2125
1785;Rescate de Emergencia 10-3;2021;octubre;82;4;10;28;7;41;112;795;105;51;46;130;79;53;66;4;6;1537
1786;Rescate Vehicular 10-4;2021;octubre;82;39;25;93;59;64;328;773;235;206;103;262;136;99;127;24;25;2598
1787;Haz-Mat 10-5;2021;octubre;82;1;0;6;0;6;41;37;47;12;2;25;21;12;26;1;0;237
1788;Gas 10-6;2021;octubre;82;3;14;29;7;13;51;218;47;19;13;72;25;20;39;10;9;589
1789;Eléctrico 10-7;2021;octubre;82;0;5;8;2;2;14;155;28;10;3;14;18;1;15;4;2;281
1790;No Clasificado 10-8;2021;octubre;82;2;5;3;14;8;61;100;44;49;19;147;21;20;45;8;10;556
1791;Otros Servicios 10-9;2021;octubre;82;2;13;47;63;50;169;276;325;59;157;149;341;116;238;6;42;2053
1792;Escombros 10-10;2021;octubre;82;1;1;0;2;3;25;40;9;3;2;4;6;2;4;1;0;103
1793;Servicio Aéreo 10-11;2021;octubre;82;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;2
1794;Apoyo a otros Cuerpos 10-12;2021;octubre;82;0;7;4;2;6;48;429;44;7;8;21;26;16;2;0;0;620
1795;Atentados Terroristas 10-13;2021;octubre;82;0;0;0;0;0;2;1;0;0;0;0;2;0;0;0;0;5
1796;Accidentes Aéreos 10-14;2021;octubre;82;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1797;Simulacro 10-15;2021;octubre;82;11;0;1;0;3;8;4;0;1;2;2;3;3;15;1;2;56
1798;Túnel 10-16;2021;octubre;82;0;0;0;0;0;0;3;0;0;1;1;0;0;0;0;0;5
1799;Falsa Alarma 6-16;2021;octubre;82;0;0;1;1;1;11;34;2;1;6;6;10;4;5;2;3;87
1800;Inundación 10-17;2021;octubre;82;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;5
1801;Emergencia Marítima Portuaria 10-18;2021;octubre;82;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2
1802;Incendio 10-30;2021;octubre;82;4;2;3;0;0;3;43;1;5;0;0;2;0;10;0;0;73
1803;Emergencia Metro de Santiago 10-19;2021;octubre;82;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1804;Estructural 10-0;2021;Noviembre;83;6;49;37;14;32;116;354;70;80;61;135;103;50;134;16;22;1279
1805;Vehículos 10-1;2021;Noviembre;83;2;15;9;3;13;35;270;19;22;15;29;18;8;24;2;5;489
1806;Pastizales y/o Basura 10-2;2021;Noviembre;83;22;18;40;24;59;300;679;411;243;133;311;232;60;133;8;20;2693
1807;Rescate de Emergencia 10-3;2021;Noviembre;83;7;11;31;4;33;140;763;98;68;28;138;58;35;76;2;3;1495
1808;Rescate Vehicular 10-4;2021;Noviembre;83;34;50;82;74;59;352;776;270;179;90;267;134;79;158;38;24;2666
1809;Haz-Mat 10-5;2021;Noviembre;83;0;0;6;3;8;30;31;48;14;13;24;16;9;39;2;1;244
1810;Gas 10-6;2021;Noviembre;83;5;9;30;8;14;52;201;44;20;8;59;27;15;38;2;7;539
1811;Eléctrico 10-7;2021;Noviembre;83;2;1;8;5;3;26;129;23;8;10;11;6;6;9;1;2;250
1812;No Clasificado 10-8;2021;Noviembre;83;7;4;6;12;8;71;84;66;34;27;124;36;13;28;3;2;525
1813;Otros Servicios 10-9;2021;Noviembre;83;2;9;47;45;43;203;304;330;88;187;138;328;102;246;4;39;2115
1814;Escombros 10-10;2021;Noviembre;83;0;0;9;0;2;37;43;20;4;2;9;6;2;3;2;1;140
1815;Servicio Aéreo 10-11;2021;Noviembre;83;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
1816;Apoyo a otros Cuerpos 10-12;2021;Noviembre;83;0;0;3;1;3;35;368;57;28;4;31;16;7;5;0;0;558
1817;Atentados Terroristas 10-13;2021;Noviembre;83;0;0;0;0;0;0;1;0;0;0;0;3;0;1;0;0;5
1818;Accidentes Aéreos 10-14;2021;Noviembre;83;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
1819;Simulacro 10-15;2021;Noviembre;83;4;0;5;0;1;9;23;4;4;0;8;13;2;13;0;3;89
1820;Túnel 10-16;2021;Noviembre;83;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2
1821;Falsa Alarma 6-16;2021;Noviembre;83;1;1;2;1;5;9;22;6;2;7;4;6;3;6;2;1;78
1822;Inundación 10-17;2021;Noviembre;83;0;0;0;0;0;0;3;1;0;0;1;0;0;0;0;0;5
1823;Emergencia Marítima Portuaria 10-18;2021;Noviembre;83;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;5
1824;Incendio 10-30;2021;Noviembre;83;0;1;4;0;0;6;40;1;4;0;1;1;1;13;0;0;72
1825;Emergencia Metro de Santiago 10-19;2021;Noviembre;83;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2
1826;Estructural 10-0;2021;diciembre;84;8;28;46;22;33;120;378;80;87;71;124;97;47;108;25;12;1286
1827;Vehículos 10-1;2021;diciembre;84;6;16;12;7;12;41;298;27;38;13;44;31;18;24;6;2;595
1828;Pastizales y/o Basura 10-2;2021;diciembre;84;20;41;46;27;51;321;685;411;446;187;439;495;131;241;16;9;3566
1829;Rescate de Emergencia 10-3;2021;diciembre;84;6;16;16;9;30;130;791;96;49;44;156;70;63;55;2;5;1538
1830;Rescate Vehicular 10-4;2021;diciembre;84;26;41;79;74;53;372;781;269;180;106;255;163;98;154;27;22;2700
1831;Haz-Mat 10-5;2021;diciembre;84;0;4;7;4;2;34;35;32;25;19;24;26;14;39;2;1;268
1832;Gas 10-6;2021;diciembre;84;6;16;23;10;12;39;182;25;15;13;44;26;15;23;3;11;463
1833;Eléctrico 10-7;2021;diciembre;84;0;3;10;6;6;24;137;32;10;13;5;14;8;12;3;1;284
1834;No Clasificado 10-8;2021;diciembre;84;4;5;15;14;16;93;96;28;42;23;107;26;22;47;6;12;556
1835;Otros Servicios 10-9;2021;diciembre;84;0;21;56;36;46;198;309;297;99;239;126;319;176;334;20;46;2322
1836;Escombros 10-10;2021;diciembre;84;0;1;0;0;3;25;55;8;10;4;5;15;3;18;2;1;150
1837;Servicio Aéreo 10-11;2021;diciembre;84;0;0;0;0;0;0;0;0;1;4;0;0;2;0;0;0;7
1838;Apoyo a otros Cuerpos 10-12;2021;diciembre;84;0;0;0;1;5;38;370;70;31;99;68;105;5;44;3;0;839
1839;Atentados Terroristas 10-13;2021;diciembre;84;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;3
1840;Accidentes Aéreos 10-14;2021;diciembre;84;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1841;Simulacro 10-15;2021;diciembre;84;1;0;3;3;2;1;9;12;7;3;3;8;3;12;0;2;69
1842;Túnel 10-16;2021;diciembre;84;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;2
1843;Falsa Alarma 6-16;2021;diciembre;84;1;1;1;0;1;16;35;2;5;4;8;14;3;6;0;1;98
1844;Inundación 10-17;2021;diciembre;84;0;0;0;0;0;0;2;1;0;0;1;0;0;0;0;0;4
1845;Emergencia Marítima Portuaria 10-18;2021;diciembre;84;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;3
1846;Incendio 10-30;2021;diciembre;84;1;1;4;0;0;4;49;1;10;0;0;3;3;13;0;0;89
1847;Emergencia Metro de Santiago 10-19;2021;diciembre;84;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
1848;Estructural 10-0;2022;enero;85;2;48;30;23;36;121;334;84;91;45;139;86;35;120;15;18;1227
1849;Vehículos 10-1;2022;enero;85;6;9;20;10;11;59;250;23;46;17;34;30;5;21;3;6;550
1850;Pastizales y/o Basura 10-2;2022;enero;85;24;33;55;41;94;385;648;566;574;268;548;448;99;135;4;20;3942
1851;Rescate de Emergencia 10-3;2022;enero;85;5;14;20;16;47;136;725;99;52;47;148;87;36;107;7;8;1554
1852;Rescate Vehicular 10-4;2022;enero;85;23;34;84;59;78;369;662;216;237;111;303;216;122;171;30;26;2741
1853;Haz-Mat 10-5;2022;enero;85;0;0;8;0;7;38;41;42;16;12;25;34;20;56;0;6;305
1854;Gas 10-6;2022;enero;85;2;14;23;5;9;44;162;31;9;10;65;24;15;27;1;9;450
1855;Eléctrico 10-7;2022;enero;85;0;5;13;6;7;32;132;30;10;6;21;12;11;8;2;4;299
1856;No Clasificado 10-8;2022;enero;85;7;7;4;12;20;73;89;42;51;35;133;34;26;36;1;4;574
1857;Otros Servicios 10-9;2022;enero;85;7;5;63;43;52;197;287;357;126;219;219;453;141;345;9;31;2554
1858;Escombros 10-10;2022;enero;85;0;2;4;2;0;55;45;16;19;16;11;12;1;8;0;2;193
1859;Servicio Aéreo 10-11;2022;enero;85;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
1860;Apoyo a otros Cuerpos 10-12;2022;enero;85;0;2;2;4;12;65;362;111;57;40;47;69;5;8;0;0;784
1861;Atentados Terroristas 10-13;2022;enero;85;0;0;0;0;0;2;1;0;0;0;0;1;0;0;0;0;4
1862;Accidentes Aéreos 10-14;2022;enero;85;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1863;Simulacro 10-15;2022;enero;85;1;0;0;0;0;2;5;2;1;0;1;1;1;9;0;0;23
1864;Túnel 10-16;2022;enero;85;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;2
1865;Falsa Alarma 6-16;2022;enero;85;2;0;0;2;2;9;32;10;11;10;8;15;5;6;5;1;118
1866;Inundación 10-17;2022;enero;85;0;0;0;0;0;0;2;0;0;0;1;0;0;1;0;0;4
1867;Emergencia Marítima Portuaria 10-18;2022;enero;85;0;0;3;0;0;1;0;0;0;0;2;0;0;0;0;0;6
1868;Incendio 10-30;2022;enero;85;0;4;5;0;0;6;47;3;13;0;0;5;1;7;0;0;91
1869;Emergencia Metro de Santiago 10-19;2022;enero;85;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1870;Estructural 10-0;2022;febrero;86;8;39;47;18;36;126;283;105;78;68;139;125;54;99;21;13;1259
1871;Vehículos 10-1;2022;febrero;86;2;3;11;6;11;47;210;8;27;11;27;26;19;20;4;4;436
1872;Pastizales y/o Basura 10-2;2022;febrero;86;21;18;40;32;62;324;609;439;651;277;868;1231;209;290;7;21;5099
1873;Rescate de Emergencia 10-3;2022;febrero;86;5;17;25;8;29;121;600;114;50;38;128;83;35;93;3;2;1351
1874;Rescate Vehicular 10-4;2022;febrero;86;19;37;74;47;69;359;593;227;209;92;242;188;98;172;27;23;2476
1875;Haz-Mat 10-5;2022;febrero;86;0;1;21;3;0;42;42;58;20;6;50;30;25;51;2;4;355
1876;Gas 10-6;2022;febrero;86;3;14;20;11;16;36;139;31;25;5;30;16;13;20;3;6;388
1877;Eléctrico 10-7;2022;febrero;86;2;2;6;4;7;32;149;39;5;10;7;26;10;11;1;4;315
1878;No Clasificado 10-8;2022;febrero;86;4;2;9;15;12;82;88;35;43;17;70;31;21;28;3;6;466
1879;Otros Servicios 10-9;2022;febrero;86;2;5;46;34;37;188;209;271;88;143;181;387;131;311;7;56;2096
1880;Escombros 10-10;2022;febrero;86;0;4;4;1;4;27;34;22;16;9;18;18;4;33;1;1;196
1881;Servicio Aéreo 10-11;2022;febrero;86;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;7
1882;Apoyo a otros Cuerpos 10-12;2022;febrero;86;0;1;0;1;9;45;242;154;90;65;120;237;41;23;0;0;1028
1883;Atentados Terroristas 10-13;2022;febrero;86;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1
1884;Accidentes Aéreos 10-14;2022;febrero;86;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
1885;Simulacro 10-15;2022;febrero;86;0;0;1;0;0;2;3;2;0;1;1;0;0;4;0;0;14
1886;Túnel 10-16;2022;febrero;86;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1
1887;Falsa Alarma 6-16;2022;febrero;86;2;0;0;0;2;9;30;10;12;6;8;19;8;8;1;0;115
